com,reg,dep,libelle,d_nccenr,d_libelle,r_nccenr,r_libelle
1183,84,1,Guéreins,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1184,84,1,Hautecourt-Romanèche,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1185,84,1,Plateau d'Hauteville,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1185,,,Hauteville-Lompnes,,,,
1186,,,Hostiaz,,,,
1187,84,1,Haut Valromey,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1187,,,Hotonnes,,,,
1188,84,1,Illiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1189,84,1,Injoux-Génissiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1190,84,1,Innimond,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1191,84,1,Izenave,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1192,84,1,Izernore,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1193,84,1,Izieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1194,84,1,Jassans-Riottier,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1195,84,1,Jasseron,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1196,84,1,Jayat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1197,84,1,Journans,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1198,84,1,Joyeux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1199,84,1,Jujurieux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1200,84,1,Labalme,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1202,84,1,Lagnieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1203,84,1,Laiz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1204,84,1,Le Poizat-Lalleyriat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1204,,,Lalleyriat,,,,
1205,,,Lancrans,,,,
1206,84,1,Lantenay,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1207,84,1,Lapeyrouse,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1208,84,1,Lavours,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1209,84,1,Léaz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1210,84,1,Lélex,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1211,84,1,Lent,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1212,84,1,Lescheroux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1213,84,1,Leyment,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1214,84,1,Leyssard,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1215,84,1,Surjoux-Lhopital,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1215,,,Lhôpital,,,,
1216,84,1,Lhuis,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1218,,,Lochieu,,,,
1219,84,1,Lompnas,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1221,,,Lompnieu,,,,
1224,84,1,Loyettes,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1225,84,1,Lurcy,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1227,84,1,Magnieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1227,,,Magnieu,,,,
1228,84,1,Maillat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1229,84,1,Malafretaz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1230,84,1,Mantenay-Montlin,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1231,84,1,Manziat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1232,84,1,Marboz,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1233,84,1,Marchamp,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1234,84,1,Marignieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
